key,altitude,dist,hr,lat,lon,,,,,,,,,,,,temp
C6,264.0,0.8587308027349195,80.0,41.6566,0.95172,,,,,,,,,,,,8.8
C7,427.0,0.8391155992642414,86.0,41.66695,1.16234,,,,,,,,,,,,7.1
C8,554.0,0.8253810714888573,76.0,41.67555,1.29609,,,,,,,,,,,,9.3
C9,240.0,0.4486042099557883,47.0,40.71825,0.39988,,,,,,,,,,,,15.7
CC,626.0,0.8499675112750937,47.0,42.07398,2.20862,,,,,,,,,,,,15.2
CD,849.0,0.9746951118494185,38.0,42.37083,1.43277,,,,,,,,,,,,13.4
CE,316.0,0.6191672848200354,48.0,41.53109,1.80813,,,,,,,,,,,,17.4
CG,1405.0,0.8362274452293827,39.0,42.37717,2.41456,,,,,,,,,,,,12.7
CI,852.0,0.8446059917330453,36.0,42.25839,2.36429,,,,,,,,,,,,14.9
CJ,566.5,0.9676830982288592,40.0,42.21624,1.33132,,,,,,,,,,,,14.5
CL,349.0,0.7610740090232082,55.0,41.67399,1.76796,,,,,,,,,,,,15.0
CP,690.0,0.9671524703165492,47.0,42.13924,1.03893,,,,,,,,,,,,14.5
CQ,594.0,0.9486328049742749,82.0,41.99546,1.02569,,,,,,,,,,,,7.8
CR,873.0,0.8879654762829066,47.0,42.08032,1.9624,,,,,,,,,,,,13.9
CT,823.0,0.9883362774104333,34.0,42.39811,0.74362,,,,,,,,,,,,15.7
CU,1002.0,0.9953635510195544,29.0,42.69856,0.79397,,,,,,,,,,,,14.3
CW,446.0,0.6340832742226434,54.0,41.39241,1.09894,,,,,,,,,,,,12.3
CY,816.0,0.7397365453973226,45.0,41.87813,2.17873,,,,,,,,,,,,16.4
D1,404.0,0.6363968059274836,55.0,41.28521,0.75383,,,,,,,,,,,,12.9
D2,343.0,0.6228263827625623,51.0,41.59252,1.915,,,,,,,,,,,,15.5
D3,252.0,0.3346458014419661,49.0,41.38197,1.93564,,,,,,,,,,,,16.9
D4,24.0,0.04308019798319751,47.0,42.27065,3.18165,,,,,,,,,,,,17.6
D5,411.2,0.1936810466445077,50.0,41.41843,2.12388,,,,,,,,,,,,14.9
