key,altitude,dist,lat,lon,name
C6,264.0,0.8587308027349195,41.6566,0.95172,Castellnou de Seana
C7,427.0,0.8391155992642414,41.66695,1.16234,Tàrrega
C8,554.0,0.8253810714888573,41.67555,1.29609,Cervera
C9,240.0,0.4486042099557883,40.71825,0.39988,Mas de Barberans
CC,626.0,0.8499675112750937,42.07398,2.20862,Orís
CD,849.0,0.9746951118494185,42.37083,1.43277,la Seu d'Urgell - Bellestar
CE,316.0,0.6191672848200354,41.53109,1.80813,els Hostalets de Pierola
CG,1405.0,0.8362274452293827,42.37717,2.41456,Molló - Fabert
CI,852.0,0.8446059917330453,42.25839,2.36429,Sant Pau de Segúries
CJ,566.5,0.9676830982288592,42.21624,1.33132,Organyà
CL,349.0,0.7610740090232082,41.67399,1.76796,Sant Salvador de Guardiola
CP,690.0,0.9671524703165492,42.13924,1.03893,Sant Romà d'Abella
CQ,594.0,0.9486328049742749,41.99546,1.02569,Vilanova de Meià
CR,873.0,0.8879654762829066,42.08032,1.9624,la Quar
CT,823.0,0.9883362774104333,42.39811,0.74362,el Pont de Suert
CU,1002.0,0.9953635510195544,42.69856,0.79397,Vielha
CW,446.0,0.6340832742226434,41.39241,1.09894,l'Espluga de Francolí
CY,816.0,0.7397365453973226,41.87813,2.17873,Muntanyola
D1,404.0,0.6363968059274836,41.28521,0.75383,Margalef
D2,343.0,0.6228263827625623,41.59252,1.915,Vacarisses
D3,252.0,0.3346458014419661,41.38197,1.93564,Vallirana
D4,24.0,0.04308019798319751,42.27065,3.18165,Roses
D5,411.2,0.1936810466445077,41.41843,2.12388,Barcelona - Observatori Fabra
D6,196.0,0.0006811608546698489,42.43515,3.16622,Portbou
D7,53.0,0.6488086611099584,41.18499,0.59376,Vinebre
D8,515.0,0.6716192565374484,40.95134,0.30565,Horta de Sant Joan
D9,59.0,0.10898237850914894,41.21553,1.52121,el Vendrell
DB,179.0,0.11832351260998775,40.87287,0.71581,el Perelló
DF,28.6,0.30852346939330466,41.97751,3.03543,la Bisbal d'Empordà
DG,1971.4,0.9133773215909835,42.39848,2.15517,Núria (1.971 m)
DI,415.0,0.5309866868620506,41.43292,1.62386,Font-rubí
DJ,176.0,0.5637488295270441,42.11653,2.78969,Banyoles
DK,2.0,0.023309898125428608,41.14677,1.41846,Torredembarra
DL,0.5,0.0768241393266228,40.70719,0.83449,Illa de Buda
DN,150.0,0.6395092108155205,41.96095,2.63108,Anglès
DO,14.0,0.08488753290071493,41.80857,3.03241,Castell d'Aro
DP,1097.0,0.9565523584990108,42.38605,1.8664,Das - Aeròdrom
DQ,287.0,0.4298205294688837,41.30728,1.36259,Vila-rodona
H1,333.0,0.7095670449304383,41.58642,1.65306,Òdena
J5,158.0,0.552620955874723,42.34215,2.83423,Pantà de Darnius - Boadella
KE,426.0,0.742263185787002,41.96867,2.41404,Pantà de Sau
KP,36.0,0.29741289052052955,41.73894,2.69436,Fogars de la Selva
KX,156.0,0.3089544388296074,41.61865,2.36114,la Roca del Vallès - ETAP Cardedeu
M6,730.0,0.8845429915610226,42.22189,2.2427,Sant Joan de les Abadesses
MQ,402.0,0.8768505100374637,41.92047,1.69584,Cardona
MR,500.0,0.5244394172045687,41.25079,0.9106,Pantà de Siurana
MS,938.0,0.9332387680922425,42.25978,1.97747,Castellar de n'Hug - el Clot del Moro
MV,845.0,0.9324963243430269,42.13598,1.67295,Guixers - Valls
MW,545.0,0.9076243820029223,42.00707,1.65239,Navès
R1,210.0,0.7226110386399378,41.70637,1.87276,el Pont de Vilomara
